compound	disease	target	associated_interactors	interactors	TP	TP + FP	precision	associated_target	upregulated_target	downregulated_target
Indomethacin	rheumatoid arthritis	ABCB1		BCCIP, CAV1, CD4, DHX9, HAX1, LAPTM4B, LNX1, MAPKAP1, PHB2, PIM1, PSMB8, RNF2, UBC	0	13	0	0	0	0
Indomethacin	rheumatoid arthritis	PLA2G2A		ALOX12, BAG6, CEP70, CRELD2, CRMP1, DCN, JOSD2, PLA2G1B, PLA2R1, SENP6, SENP8, UCHL1, UCHL3, UCHL5, USP15, USP20, USP28, USP4, USP47, USP5, USP7, USP8, VCAN	0	23	0	0	0	0
Indomethacin	rheumatoid arthritis	CXCL8		ACKR1, AHR, ARFGAP3, BAG6, CCL4, CCL5, CEBPB, CHUK, CSNK2A1, CTNNB1, CTSL, CXCR1, CXCR2, EGR1, EHMT1, ELANE, ELAVL1, EP300, FOS, GNAI2, HDAC3, HIST3H3, HNRNPD, IKBKB, IL12A, IRF1, IRF3, JUN, KHSRP, MMP1, MMP13, MMP8, MMP9, NFKB1, NR3C1, PF4, RELA, SDC1, SGTA, WASF1	0	40	0	1	0	0
Indomethacin	rheumatoid arthritis	ALB		ACADVL, ADRA1B, AGA, AHSG, AMBP, AMPD3, AP1M1, AP4E1, APOA1, APOA2, APOA4, APOC1, APOC2, APOC3, APOE, APP, ATM, BBC3, C4A, CABLES1, CACNA1I, CAMTA1, CDC45, CDCP1, CEBPB, CEP44, CFB, CFD, CFH, CHKB, CLCA2, CNOT1, CRB1, CROT, CRYAA, CST3, CTAGE5, CTSL, CUBN, DCC, DCD, DDB1, DENR, DERL1, DGKG, DICER1, DMD, DMWD, EEF2K, EIF4A3, ETF1, EXOC6, F2, F7, FAM71E2, FBXO6, FCGRT, FGA, FN1, GABBR1, GCN1L1, GFAP, GJC2, GRAP2, GRB2, GSN, HNF1A, HP, HPX, IGDCC4, IMMT, IQCB1, ITGA2, ITGB5, ITIH1, JARID2, KCNMA1, KIAA0101, KIAA0232, KIAA1551, KLK3, KRT1, KRT10, KRT13, KRT14, KRT16, KRT5, KRT6A, KRT6B, KRT9, LAT, LDB3, LRP2, LUC7L2, METAP2, MYL4, MYLK3, NCOA3, NFKB1, NLRC4, NPHS1, NR5A2, OBSL1, OR2T6, OR3A2, OR8D2, ORM1, PA2G4, PALB2, PCDH1, PCED1B, PDE4B, PDZRN4, PEG3, PF4V1, PFDN1, PHC3, PLA2G4F, PLAG1, PLCB1, PON1, PPBP, PRB3, PRSS1, PRSS3, QTRTD1, RANBP2, RANBP3, RBP4, RLF, RYR2, SACS, SCAF1, SCN5A, SERPING1, SETX, SGOL2, SH3BP5, SLA2, SLC1A5, SLC25A13, SLC9A8, SLX4, SORBS3, SPAST, SPATA31A7, SRGN, ST13, TF, THRAP3, TIAM1, TK1, TLN2, TRAPPC11, TSC22D1, TTN, TTPAL, TTR, UBC, UBD, UIMC1, YWHAE, YWHAG, ZNF232, ZNF292	0	165	0	1	0	0
Irbesartan	hypertension	EDNRA	EDN3	ARRB1, ARRB2, COPS5, EDN1, EDN3, GNA11, GNAI2, GRK6, HDAC7, KAT5, SRC	1	11	0.0909	1	0	0
Irbesartan	hypertension	JUN	MYO6	ABL1, ACAT2, ACHE, ACTA2, ACTG2, ACTN4, AMPH, AP1G1, APLP2, APP, AR, ARRB1, ASCC1, ASCC2, ASCC3, ATF1, ATF2, ATF3, ATF4, ATF7, ATP1A1, ATP2B2, BACH2, BAG1, BATF, BATF2, BATF3, BBS7, BCAS1, BCL2A1, BCL3, BCL6, BECN1, BRCA1, BRD3, C1QBP, CABYR, CALR, CBFB, CCDC6, CCL15, CCND1, CDKN1A, CEBPE, CEP170B, CHD2, CHL1, CIT, CITED1, CKB, CLINT1, CNN1, COPS2, COPS3, COPS4, COPS5, COPS6, COPS7A, COPS8, CREB1, CREB3, CREB5, CREBBP, CSF2, CSK, CSNK2A1, CSNK2A2, CSNK2B, CTNNB1, CXCL8, CXCR4, DACH1, DBP, DDIT3, DDX1, DDX21, DHX9, DLG4, DST, EDF1, EEF2, EGR1, EIF3A, EIF3E, ELF1, ELF3, ELOF1, EN1, EP300, EPB41L3, EPHB4, ERCC6L2, ERG, ERMN, ESR1, ETS1, ETS2, FAM13A, FAM13B, FAT2, FBXL12, FBXW7, FLII, FLNA, FN1, FOS, FOSB, FOSL1, FOSL2, GAD1, GAP43, GATA2, GCLC, GCLM, GNB2L1, GNL2, GOLGA4, GOPC, GRIP1, GSK3B, GTF2B, GTF2E2, GTF2F1, GTF2F2, GZMB, HAP1, HCFC1, HDAC1, HDAC3, HDAC9, HDGF, HERC1, HHEX, HIF1A, HIPK3, HLF, HMGA1, HNRNPM, HNRNPR, HOOK2, HOXA9, HOXC8, HSP90AA1, HSP90AB1, HSPA8, IFNB1, IFNG, IKBKB, IKBKG, IL11, IL1B, IL2, INA, IRAK1, IRAK3, ITCH, ITGAX, ITPK1, JDP2, JUNB, JUND, KAT7, KIF1B, KLC1, KMT2C, KPNA2, LARP6, LUC7L3, LURAP1L, M6PR, MACF1, MAF, MAFB, MAFG, MAFK, MAP1A, MAP1B, MAP2, MAP2K4, MAP2K7, MAP3K1, MAPK1, MAPK10, MAPK11, MAPK3, MAPK8, MAPK9, MAPKAPK5, MAPRE3, MATR3, MAZ, MBD3, MBTPS2, MDM2, MMP13, MOK, MRPS2, MTA1, MUC1, MYBBP1A, MYO18A, MYO6, MYOD1, MYRIP, NACA, NAT14, NBR1, NCOA1, NCOA2, NCOA3, NCOA6, NCOR2, NECAP1, NEDD4, NEFM, NELFB, NFATC2, NFE2L1, NFE2L2, NFKB1, NFYA, NKTR, NOS2, NR3C1, NR5A1, NRIP1, NSF, NTRK3, PABPN1, PACS1, PALMD, PCGF5, PHOX2A, PIAS1, PIAS2, PIN1, PLCB4, PLEKHA5, PLEKHO1, PLXNA2, PML, POLE3, POU1F1, POU2F1, PPP1R10, PPP2R2B, PPP3CA, PPP3CB, PPP4C, PRKD1, PRKDC, PRRC2A, PSIP1, PSMA1, RAB18, RAD52, RALBP1, RANBP9, RB1, RBM39, RELA, RELL2, RFWD2, RNF187, RPAP2, RPL18A, RPL5, RPS27A, RRP12, RUNX1, RUNX2, SARS, SELE, SERTAD1, SHANK1, SIRT1, SKI, SLC4A8, SMAD2, SMAD3, SMAD4, SMARCD1, SMARCD3, SMTN, SNAPC5, SNRK, SNRNP27, SOX10, SOX8, SP1, SPI1, SPIB, SPTAN1, SPTBN1, SPTBN2, SREK1, SS18, ST13, STAT1, STAT3, STAT4, STAT6, STRN4, STX4, SUMO1, SUMO2, SUMO3, SUMO4, SUPT6H, TAF1, TAF4, TAX1BP1, TBP, TCF20, TCF4, TCF7L2, TCL1A, TDG, TGIF1, TOP1, TOP2A, TPM1, TPM2, TPM3, TRAF2, TRAF3IP1, TRIP4, TSC22D3, TSG101, TSPYL1, TUBA1A, TUBB, UBA52, UBB, UBC, UBE2I, UBE2O, UQCRB, USP9X, VAV1, VDR, VIM, VRK1, WBP5, YWHAQ, ZFHX3, ZHX1	1	347	0.00288	0	0	0
Irbesartan	hypertension	CYP1A2		CYB5A, POR	0	2	0	0	0	0
Irbesartan	hypertension	PTGS1		MAP1S, NUCB1, PTGIS	0	3	0	1	0	0
Irbesartan	hypertension	CYP3A4		AMFR, CYB5A, GK, PGRMC1, POR, STUB1, UGT2B7	0	7	0	0	0	0
Irbesartan	hypertension	CYP2C9		CDC37, ECSIT, MAST1, POR, RAB3D, RNF32, STAMBP, STAT5A	0	8	0	0	0	0
Irbesartan	hypertension	CYP2C8		A2M, APOE, BLMH, DNAJB1, ECSIT, EXOC6, IFIT3, LONP1, MAST1, PGRMC1, RNF32	0	11	0	0	0	0
Irbesartan	hypertension	AGTR1		ADRBK1, ADRBK2, AGT, AGTRAP, ARRB1, ARRB2, AVPR2, BDKRB2, DNAJC14, EGFR, GPRASP1, GRK5, HRAS, JAK2, MAP2K1, MAPK1, MAPK3, NOS3, PDE6H, PLCG1, RAB5A, RAF1, THOP1, ZBTB16	0	24	0	1	0	0
Irbesartan	type 2 diabetes mellitus	AGTR1	GRK5	ADRBK1, ADRBK2, AGT, AGTRAP, ARRB1, ARRB2, AVPR2, BDKRB2, DNAJC14, EGFR, GPRASP1, GRK5, HRAS, JAK2, MAP2K1, MAPK1, MAPK3, NOS3, PDE6H, PLCG1, RAB5A, RAF1, THOP1, ZBTB16	1	24	0.0417	0	0	0
Irbesartan	type 2 diabetes mellitus	JUN	HHEX, TCF7L2	ABL1, ACAT2, ACHE, ACTA2, ACTG2, ACTN4, AMPH, AP1G1, APLP2, APP, AR, ARRB1, ASCC1, ASCC2, ASCC3, ATF1, ATF2, ATF3, ATF4, ATF7, ATP1A1, ATP2B2, BACH2, BAG1, BATF, BATF2, BATF3, BBS7, BCAS1, BCL2A1, BCL3, BCL6, BECN1, BRCA1, BRD3, C1QBP, CABYR, CALR, CBFB, CCDC6, CCL15, CCND1, CDKN1A, CEBPE, CEP170B, CHD2, CHL1, CIT, CITED1, CKB, CLINT1, CNN1, COPS2, COPS3, COPS4, COPS5, COPS6, COPS7A, COPS8, CREB1, CREB3, CREB5, CREBBP, CSF2, CSK, CSNK2A1, CSNK2A2, CSNK2B, CTNNB1, CXCL8, CXCR4, DACH1, DBP, DDIT3, DDX1, DDX21, DHX9, DLG4, DST, EDF1, EEF2, EGR1, EIF3A, EIF3E, ELF1, ELF3, ELOF1, EN1, EP300, EPB41L3, EPHB4, ERCC6L2, ERG, ERMN, ESR1, ETS1, ETS2, FAM13A, FAM13B, FAT2, FBXL12, FBXW7, FLII, FLNA, FN1, FOS, FOSB, FOSL1, FOSL2, GAD1, GAP43, GATA2, GCLC, GCLM, GNB2L1, GNL2, GOLGA4, GOPC, GRIP1, GSK3B, GTF2B, GTF2E2, GTF2F1, GTF2F2, GZMB, HAP1, HCFC1, HDAC1, HDAC3, HDAC9, HDGF, HERC1, HHEX, HIF1A, HIPK3, HLF, HMGA1, HNRNPM, HNRNPR, HOOK2, HOXA9, HOXC8, HSP90AA1, HSP90AB1, HSPA8, IFNB1, IFNG, IKBKB, IKBKG, IL11, IL1B, IL2, INA, IRAK1, IRAK3, ITCH, ITGAX, ITPK1, JDP2, JUNB, JUND, KAT7, KIF1B, KLC1, KMT2C, KPNA2, LARP6, LUC7L3, LURAP1L, M6PR, MACF1, MAF, MAFB, MAFG, MAFK, MAP1A, MAP1B, MAP2, MAP2K4, MAP2K7, MAP3K1, MAPK1, MAPK10, MAPK11, MAPK3, MAPK8, MAPK9, MAPKAPK5, MAPRE3, MATR3, MAZ, MBD3, MBTPS2, MDM2, MMP13, MOK, MRPS2, MTA1, MUC1, MYBBP1A, MYO18A, MYO6, MYOD1, MYRIP, NACA, NAT14, NBR1, NCOA1, NCOA2, NCOA3, NCOA6, NCOR2, NECAP1, NEDD4, NEFM, NELFB, NFATC2, NFE2L1, NFE2L2, NFKB1, NFYA, NKTR, NOS2, NR3C1, NR5A1, NRIP1, NSF, NTRK3, PABPN1, PACS1, PALMD, PCGF5, PHOX2A, PIAS1, PIAS2, PIN1, PLCB4, PLEKHA5, PLEKHO1, PLXNA2, PML, POLE3, POU1F1, POU2F1, PPP1R10, PPP2R2B, PPP3CA, PPP3CB, PPP4C, PRKD1, PRKDC, PRRC2A, PSIP1, PSMA1, RAB18, RAD52, RALBP1, RANBP9, RB1, RBM39, RELA, RELL2, RFWD2, RNF187, RPAP2, RPL18A, RPL5, RPS27A, RRP12, RUNX1, RUNX2, SARS, SELE, SERTAD1, SHANK1, SIRT1, SKI, SLC4A8, SMAD2, SMAD3, SMAD4, SMARCD1, SMARCD3, SMTN, SNAPC5, SNRK, SNRNP27, SOX10, SOX8, SP1, SPI1, SPIB, SPTAN1, SPTBN1, SPTBN2, SREK1, SS18, ST13, STAT1, STAT3, STAT4, STAT6, STRN4, STX4, SUMO1, SUMO2, SUMO3, SUMO4, SUPT6H, TAF1, TAF4, TAX1BP1, TBP, TCF20, TCF4, TCF7L2, TCL1A, TDG, TGIF1, TOP1, TOP2A, TPM1, TPM2, TPM3, TRAF2, TRAF3IP1, TRIP4, TSC22D3, TSG101, TSPYL1, TUBA1A, TUBB, UBA52, UBB, UBC, UBE2I, UBE2O, UQCRB, USP9X, VAV1, VDR, VIM, VRK1, WBP5, YWHAQ, ZFHX3, ZHX1	2	347	0.00576	0	0	0
Irbesartan	type 2 diabetes mellitus	CYP1A2		CYB5A, POR	0	2	0	1	0	0
Irbesartan	type 2 diabetes mellitus	PTGS1		MAP1S, NUCB1, PTGIS	0	3	0	0	0	0
Irbesartan	type 2 diabetes mellitus	CYP3A4		AMFR, CYB5A, GK, PGRMC1, POR, STUB1, UGT2B7	0	7	0	1	0	0
Irbesartan	type 2 diabetes mellitus	CYP2C9		CDC37, ECSIT, MAST1, POR, RAB3D, RNF32, STAMBP, STAT5A	0	8	0	0	0	0
Irbesartan	type 2 diabetes mellitus	CYP2C8		A2M, APOE, BLMH, DNAJB1, ECSIT, EXOC6, IFIT3, LONP1, MAST1, PGRMC1, RNF32	0	11	0	0	0	0
Irbesartan	type 2 diabetes mellitus	EDNRA		ARRB1, ARRB2, COPS5, EDN1, EDN3, GNA11, GNAI2, GRK6, HDAC7, KAT5, SRC	0	11	0	1	0	0
Irinotecan	breast cancer	TOP1	ESR1, MYC	ABL1, APLF, APP, ATM, BARD1, BTBD1, BTBD2, BUB3, CAND1, CASP3, CASP6, CDC42, CDK2, CDK4, CDK5, CDK8, CDKN1A, CDKN2A, CDT1, COPS5, CSNK2A1, CSNK2A2, CUL1, CUL3, DDB2, DDX17, DDX21, DDX23, DDX5, DHX9, EFTUD2, ELAVL1, ELK3, ERCC8, ESR1, FBL, FSHR, GEMIN4, GRWD1, H1FX, HDAC5, HDGF, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPK, HNRNPL, HNRNPR, HNRNPU, ICT1, IRF4, IRF8, IRF9, ITGA4, JAK1, JUN, KIAA0101, LIG3, LIG4, LSM4, MKI67, MYC, NAT10, NAT8B, NCL, NCOA6, NKX3-1, NONO, NOP2, NPM1, PA2G4, PARP1, PCNA, PDE10A, PRB1, PRKDC, PRPF8, PYGM, RBL1, RBL2, RCVRN, RECQL, RPA1, RPS3A, RRP1B, SF3B1, SFPQ, SIRT7, SMAD2, SNRNP200, SNRNP70, SNRPA1, SNW1, SRSF1, SRSF11, SUMO1, SUMO2, SYMPK, TAL1, TARBP2, TCOF1, TDP1, TOP2A, TOPBP1, TOPORS, TP53, TRIM32, TUBD1, U2AF2, UBC, UBE2I, VCAM1, VCP, XRCC1	2	116	0.0172	0	0	0
Irinotecan	breast cancer	BCHE		COLQ	0	1	0	1	0	0
Irinotecan	breast cancer	CYP2B6		UBC	0	1	0	0	0	0
Irinotecan	breast cancer	CYP3A7		NFAT5	0	1	0	0	0	0
Irinotecan	breast cancer	TOP1MT		UBC	0	1	0	0	0	0
Irinotecan	breast cancer	ABCC1		AZGP1, NPM1, TRAF3	0	3	0	1	0	0
Irinotecan	breast cancer	ABCG2		GLI1, PIM1, UBC	0	3	0	1	0	0
Irinotecan	breast cancer	CES1		BMPR2, CREB3, GUSB	0	3	0	0	0	0
Irinotecan	breast cancer	SLC22A3		ABL1, NCK1, PDZD3	0	3	0	0	0	0
Irinotecan	breast cancer	CYP3A5		ATOH8, CYB5A, ETV5, RDH13	0	4	0	0	0	0
Irinotecan	breast cancer	UGT1A1		B3GALT1, COPZ1, SEC23B, UGDH	0	4	0	0	0	0
Irinotecan	breast cancer	CYP3A4		AMFR, CYB5A, GK, PGRMC1, POR, STUB1, UGT2B7	0	7	0	1	0	0
Irinotecan	breast cancer	ABCC2		AZIN1, CANX, MCPH1, NFKB1, PDZD3, PDZK1, RDX, SLC9A3R1, UBC, UBQLN1	0	10	0	0	0	0
Irinotecan	breast cancer	ACHE		APP, ATF7, COL4A1, COLQ, EIF2D, ENO1, GNB2L1, HAND1, JUN, LAMA1, LAMB1, PRIMA1	0	12	0	1	0	0
Irinotecan	breast cancer	ABCB1		BCCIP, CAV1, CD4, DHX9, HAX1, LAPTM4B, LNX1, MAPKAP1, PHB2, PIM1, PSMB8, RNF2, UBC	0	13	0	1	0	0
Irinotecan	breast cancer	ALB		ACADVL, ADRA1B, AGA, AHSG, AMBP, AMPD3, AP1M1, AP4E1, APOA1, APOA2, APOA4, APOC1, APOC2, APOC3, APOE, APP, ATM, BBC3, C4A, CABLES1, CACNA1I, CAMTA1, CDC45, CDCP1, CEBPB, CEP44, CFB, CFD, CFH, CHKB, CLCA2, CNOT1, CRB1, CROT, CRYAA, CST3, CTAGE5, CTSL, CUBN, DCC, DCD, DDB1, DENR, DERL1, DGKG, DICER1, DMD, DMWD, EEF2K, EIF4A3, ETF1, EXOC6, F2, F7, FAM71E2, FBXO6, FCGRT, FGA, FN1, GABBR1, GCN1L1, GFAP, GJC2, GRAP2, GRB2, GSN, HNF1A, HP, HPX, IGDCC4, IMMT, IQCB1, ITGA2, ITGB5, ITIH1, JARID2, KCNMA1, KIAA0101, KIAA0232, KIAA1551, KLK3, KRT1, KRT10, KRT13, KRT14, KRT16, KRT5, KRT6A, KRT6B, KRT9, LAT, LDB3, LRP2, LUC7L2, METAP2, MYL4, MYLK3, NCOA3, NFKB1, NLRC4, NPHS1, NR5A2, OBSL1, OR2T6, OR3A2, OR8D2, ORM1, PA2G4, PALB2, PCDH1, PCED1B, PDE4B, PDZRN4, PEG3, PF4V1, PFDN1, PHC3, PLA2G4F, PLAG1, PLCB1, PON1, PPBP, PRB3, PRSS1, PRSS3, QTRTD1, RANBP2, RANBP3, RBP4, RLF, RYR2, SACS, SCAF1, SCN5A, SERPING1, SETX, SGOL2, SH3BP5, SLA2, SLC1A5, SLC25A13, SLC9A8, SLX4, SORBS3, SPAST, SPATA31A7, SRGN, ST13, TF, THRAP3, TIAM1, TK1, TLN2, TRAPPC11, TSC22D1, TTN, TTPAL, TTR, UBC, UBD, UIMC1, YWHAE, YWHAG, ZNF232, ZNF292	0	165	0	1	0	0
Irinotecan	hematologic cancer	TOP1	IRF4, IRF8, MYC	ABL1, APLF, APP, ATM, BARD1, BTBD1, BTBD2, BUB3, CAND1, CASP3, CASP6, CDC42, CDK2, CDK4, CDK5, CDK8, CDKN1A, CDKN2A, CDT1, COPS5, CSNK2A1, CSNK2A2, CUL1, CUL3, DDB2, DDX17, DDX21, DDX23, DDX5, DHX9, EFTUD2, ELAVL1, ELK3, ERCC8, ESR1, FBL, FSHR, GEMIN4, GRWD1, H1FX, HDAC5, HDGF, HIST1H1C, HNRNPA1, HNRNPA2B1, HNRNPA3, HNRNPC, HNRNPK, HNRNPL, HNRNPR, HNRNPU, ICT1, IRF4, IRF8, IRF9, ITGA4, JAK1, JUN, KIAA0101, LIG3, LIG4, LSM4, MKI67, MYC, NAT10, NAT8B, NCL, NCOA6, NKX3-1, NONO, NOP2, NPM1, PA2G4, PARP1, PCNA, PDE10A, PRB1, PRKDC, PRPF8, PYGM, RBL1, RBL2, RCVRN, RECQL, RPA1, RPS3A, RRP1B, SF3B1, SFPQ, SIRT7, SMAD2, SNRNP200, SNRNP70, SNRPA1, SNW1, SRSF1, SRSF11, SUMO1, SUMO2, SYMPK, TAL1, TARBP2, TCOF1, TDP1, TOP2A, TOPBP1, TOPORS, TP53, TRIM32, TUBD1, U2AF2, UBC, UBE2I, VCAM1, VCP, XRCC1	3	116	0.0259	1	0	0
Irinotecan	hematologic cancer	BCHE		COLQ	0	1	0	0	0	0
Irinotecan	hematologic cancer	CYP2B6		UBC	0	1	0	0	0	0
Irinotecan	hematologic cancer	CYP3A7		NFAT5	0	1	0	0	0	0
Irinotecan	hematologic cancer	TOP1MT		UBC	0	1	0	0	0	0
Irinotecan	hematologic cancer	ABCC1		AZGP1, NPM1, TRAF3	0	3	0	0	0	0
Irinotecan	hematologic cancer	ABCG2		GLI1, PIM1, UBC	0	3	0	1	0	0
Irinotecan	hematologic cancer	CES1		BMPR2, CREB3, GUSB	0	3	0	0	0	0
Irinotecan	hematologic cancer	SLC22A3		ABL1, NCK1, PDZD3	0	3	0	0	0	0
Irinotecan	hematologic cancer	CYP3A5		ATOH8, CYB5A, ETV5, RDH13	0	4	0	0	0	0
Irinotecan	hematologic cancer	UGT1A1		B3GALT1, COPZ1, SEC23B, UGDH	0	4	0	1	0	0
Irinotecan	hematologic cancer	CYP3A4		AMFR, CYB5A, GK, PGRMC1, POR, STUB1, UGT2B7	0	7	0	0	0	0
Irinotecan	hematologic cancer	ABCC2		AZIN1, CANX, MCPH1, NFKB1, PDZD3, PDZK1, RDX, SLC9A3R1, UBC, UBQLN1	0	10	0	0	0	0
Irinotecan	hematologic cancer	ACHE		APP, ATF7, COL4A1, COLQ, EIF2D, ENO1, GNB2L1, HAND1, JUN, LAMA1, LAMB1, PRIMA1	0	12	0	0	0	0
Irinotecan	hematologic cancer	ABCB1		BCCIP, CAV1, CD4, DHX9, HAX1, LAPTM4B, LNX1, MAPKAP1, PHB2, PIM1, PSMB8, RNF2, UBC	0	13	0	1	0	0
Irinotecan	hematologic cancer	ALB		ACADVL, ADRA1B, AGA, AHSG, AMBP, AMPD3, AP1M1, AP4E1, APOA1, APOA2, APOA4, APOC1, APOC2, APOC3, APOE, APP, ATM, BBC3, C4A, CABLES1, CACNA1I, CAMTA1, CDC45, CDCP1, CEBPB, CEP44, CFB, CFD, CFH, CHKB, CLCA2, CNOT1, CRB1, CROT, CRYAA, CST3, CTAGE5, CTSL, CUBN, DCC, DCD, DDB1, DENR, DERL1, DGKG, DICER1, DMD, DMWD, EEF2K, EIF4A3, ETF1, EXOC6, F2, F7, FAM71E2, FBXO6, FCGRT, FGA, FN1, GABBR1, GCN1L1, GFAP, GJC2, GRAP2, GRB2, GSN, HNF1A, HP, HPX, IGDCC4, IMMT, IQCB1, ITGA2, ITGB5, ITIH1, JARID2, KCNMA1, KIAA0101, KIAA0232, KIAA1551, KLK3, KRT1, KRT10, KRT13, KRT14, KRT16, KRT5, KRT6A, KRT6B, KRT9, LAT, LDB3, LRP2, LUC7L2, METAP2, MYL4, MYLK3, NCOA3, NFKB1, NLRC4, NPHS1, NR5A2, OBSL1, OR2T6, OR3A2, OR8D2, ORM1, PA2G4, PALB2, PCDH1, PCED1B, PDE4B, PDZRN4, PEG3, PF4V1, PFDN1, PHC3, PLA2G4F, PLAG1, PLCB1, PON1, PPBP, PRB3, PRSS1, PRSS3, QTRTD1, RANBP2, RANBP3, RBP4, RLF, RYR2, SACS, SCAF1, SCN5A, SERPING1, SETX, SGOL2, SH3BP5, SLA2, SLC1A5, SLC25A13, SLC9A8, SLX4, SORBS3, SPAST, SPATA31A7, SRGN, ST13, TF, THRAP3, TIAM1, TK1, TLN2, TRAPPC11, TSC22D1, TTN, TTPAL, TTR, UBC, UBD, UIMC1, YWHAE, YWHAG, ZNF232, ZNF292	0	165	0	1	0	0
Irinotecan	pancreatic cancer	ALB	NR5A2	ACADVL, ADRA1B, AGA, AHSG, AMBP, AMPD3, AP1M1, AP4E1, APOA1, APOA2, APOA4, APOC1, APOC2, APOC3, APOE, APP, ATM, BBC3, C4A, CABLES1, CACNA1I, CAMTA1, CDC45, CDCP1, CEBPB, CEP44, CFB, CFD, CFH, CHKB, CLCA2, CNOT1, CRB1, CROT, CRYAA, CST3, CTAGE5, CTSL, CUBN, DCC, DCD, DDB1, DENR, DERL1, DGKG, DICER1, DMD, DMWD, EEF2K, EIF4A3, ETF1, EXOC6, F2, F7, FAM71E2, FBXO6, FCGRT, FGA, FN1, GABBR1, GCN1L1, GFAP, GJC2, GRAP2, GRB2, GSN, HNF1A, HP, HPX, IGDCC4, IMMT, IQCB1, ITGA2, ITGB5, ITIH1, JARID2, KCNMA1, KIAA0101, KIAA0232, KIAA1551, KLK3, KRT1, KRT10, KRT13, KRT14, KRT16, KRT5, KRT6A, KRT6B, KRT9, LAT, LDB3, LRP2, LUC7L2, METAP2, MYL4, MYLK3, NCOA3, NFKB1, NLRC4, NPHS1, NR5A2, OBSL1, OR2T6, OR3A2, OR8D2, ORM1, PA2G4, PALB2, PCDH1, PCED1B, PDE4B, PDZRN4, PEG3, PF4V1, PFDN1, PHC3, PLA2G4F, PLAG1, PLCB1, PON1, PPBP, PRB3, PRSS1, PRSS3, QTRTD1, RANBP2, RANBP3, RBP4, RLF, RYR2, SACS, SCAF1, SCN5A, SERPING1, SETX, SGOL2, SH3BP5, SLA2, SLC1A5, SLC25A13, SLC9A8, SLX4, SORBS3, SPAST, SPATA31A7, SRGN, ST13, TF, THRAP3, TIAM1, TK1, TLN2, TRAPPC11, TSC22D1, TTN, TTPAL, TTR, UBC, UBD, UIMC1, YWHAE, YWHAG, ZNF232, ZNF292	1	165	0.00606	0	0	0
Irinotecan	pancreatic cancer	BCHE		COLQ	0	1	0	0	0	0
Irinotecan	pancreatic cancer	CYP2B6		UBC	0	1	0	0	0	0
Irinotecan	pancreatic cancer	CYP3A7		NFAT5	0	1	0	0	0	0
Irinotecan	pancreatic cancer	TOP1MT		UBC	0	1	0	0	0	0
Irinotecan	pancreatic cancer	ABCC1		AZGP1, NPM1, TRAF3	0	3	0	0	0	0
Irinotecan	pancreatic cancer	ABCG2		GLI1, PIM1, UBC	0	3	0	0	0	0
Irinotecan	pancreatic cancer	CES1		BMPR2, CREB3, GUSB	0	3	0	0	0	0
Irinotecan	pancreatic cancer	SLC22A3		ABL1, NCK1, PDZD3	0	3	0	0	0	0
Irinotecan	pancreatic cancer	CYP3A5		ATOH8, CYB5A, ETV5, RDH13	0	4	0	0	0	0
Irinotecan	pancreatic cancer	UGT1A1		B3GALT1, COPZ1, SEC23B, UGDH	0	4	0	0	0	0
Irinotecan	pancreatic cancer	CYP3A4		AMFR, CYB5A, GK, PGRMC1, POR, STUB1, UGT2B7	0	7	0	0	0	0
Irinotecan	pancreatic cancer	ABCC2		AZIN1, CANX, MCPH1, NFKB1, PDZD3, PDZK1, RDX, SLC9A3R1, UBC, UBQLN1	0	10	0	0	0	0
Irinotecan	pancreatic cancer	ACHE		APP, ATF7, COL4A1, COLQ, EIF2D, ENO1, GNB2L1, HAND1, JUN, LAMA1, LAMB1, PRIMA1	0	12	0	0	0	0
Irinotecan	pancreatic cancer	ABCB1		BCCIP, CAV1, CD4, DHX9, HAX1, LAPTM4B, LNX1, MAPKAP1, PHB2, PIM1, PSMB8, RNF2, UBC	0	13	0	0	0	0
